# scenario|sha256(canonical summary)|canonical summary
long_partial_close|fa9ad8b6d49e38316c40ca3010db6c87e2cda5de5546811b0e9f695f682b1c36|qty=4,basis=100,realized=20
sell_through_zero|d7e45282de634eafdf1cbee5d622573cab338dd8ed48a8172645ca2bea555478|qty=-3,basis=110,realized=50,legs=2
buy_through_zero|747db058aebb25ccba882e178487ddb6cb96eaa6c465334d3f0cf7207e85b8ac|qty=3,basis=90,realized=50,legs=2
reduce_only_excess|05de03b70505bb7cbbbabedaac32b8588bd4636f3790be38b4813bf6b3e78138|requested=8,accepted=5,rejected_excess=3,filled=5,final_qty=0,status=Filled
reduce_only_race|1ea9478bc4b7f0c44fc84738f89bae3e4091ad5bcd485c4e75a7e600a9ed2973|first_accepted=3,second_accepted=2,final_qty=0,first_status=Filled,second_status=Filled
reverse_margin_partial|83e479e63e20005ecbea658927d25c7937eeb435b40fefdcdb10c6b14f3c481f|close=5,requested_open=3,accepted_open=1,accepted_total=6,full=false
post_only_marketable|d7a20c4657c58b4ba88e9b28f4a19187596491c33f16e54bd159d6e86fe18fe0|buy=PostOnlyWouldTake,sell=PostOnlyWouldTake
marketable_only_partial|b3e9e93b6b14f82724e2e9c8678440ed327d0a91988ba3b812743b60698f2145|filled=3,price=100,status=Cancelled,role=Taker
midpoint_rounding|41affe5acb31edba766bd01d88523c27950dac919281fb38d8072f7ce25a88fe|buy_passive_mid=101,sell_passive_mid=102
stop_gap|b976c5d655ba4750263c131d4c703d2a04fe3fbc654991bd28be5cf89223297d|triggered=true,filled=10,price=113,status=Filled
stop_limit_miss|03759340938a74bf05dceab5d29276404e174e07e989489b65e5b9e9989f2a2e|triggered=true,filled=0,status=Working,uncertainty=0
ambiguous_bar|882b77512486b33473a688230ddb5c8b8490fa34f8ea32e6145b433481a720d8|triggered=true,filled=0,status=Working,warning=IntrabarAmbiguous
l2_depth_sweep|d2725b6c08bb15ff9930b2d0eacadf6d65a7fd3f63b159a92e72264a08331244|filled=6,levels=101:3,102:3,status=Filled,ask102_remaining=1
maker_queue|2d8fde49bc2058c0a4f563466ee545d565bd2a88a13c75d4d754e7edfa090468|filled=2,queue_ahead=0,order_filled=2,status=PartiallyFilled
funding_liquidation|4a0e8150a402a47688db137df3954a3475d5c3b20baf3a9d7a1412b92f4d38fe|cash=99,funding=2,maintenance=100,triggered=true,state=Triggered
lower_leverage_reject|2c29ab3f8a680fcad2294d0675b0ff0068f01e4c9d180fc7cb03a3e9d03b9623|result=InsufficientMargin,leverage=10,qty=10,realized=17
increase_leverage|b7ea1bcf6813e155bee59f25e9c4f2663193e8974c637ae5f44d0e753ba63be9|leverage=5,initial_margin=200,qty=10,realized=17
fee_rebate|bbcfc33da76c1c58bfe167d30fbbccf334cda29351cb4f4a59e58bd6f6a38994|fee=-2,cash=2,fees=-2,balanced=true
futures_expiry|0878488baed6a6cde7a046de44676c4591c7fe8d60fed6c571b289566380a094|active_before=true,active_at_expiry=false,cash=12,settlement=-12,posted=true,retry=false
split_working_order|cc13dca77da77bd60fbff3a008ea3f71341521ef3f1376cb2fc47c1d2974ee22|position_qty=10,position_basis=50,realized=7,order_qty=8,order_filled=0,limit=60
sequence_gap|e10b43f867db38698919e322ad78789b1177ce70e5ce45adec87c5c19cc494e8|error=SequenceGap,enabled=false,retained_ask=3,execution=BookDisabled
duplicate_command|12741df2e9cf833fffc42c81c7a0eab5959045e174d70914652a5e6d80986403|same=InputSequence,changed=InputSequence,state_version=1,state_unchanged=true
snapshot_resume|38d9df4e43bb9a5efaaf8ed6f1ea8fb99d21a60ca614c47a0fc14d391db3475e|events_equal=true,snapshots_equal=true,hash_equal=true,hash_nonzero=true
integer_extremes|852a6a81991d560d5a80cb94bcbe74701732c66b5b25f23922a0ddea80c7e5ac|price_max=9223372036854775807,price_overflow=Overflow,qty_overflow=Overflow,rescale=Overflow
